Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,RecordID,IncomePerWorkingYear,ExperienceLevel,PromotionRate,TenureGroup,HighIncomeIndicator
39,No,Travel_Rarely,117,Research and Development,10,1,Medical,429,3,Male,99,3,4,Manager,1,Married,16790.5,5355,1,Yes,14,3,4,0,21.0,3,3,21.0,9,11,10,100315,763.2045454545455,Senior,0.5,5+ Years,1
43,No,Travel_Frequently,185,Research and Development,10,4,Life Sciences,430,3,Female,33,3,1,Laboratory Technician,4,Single,4945.5,10675,0,No,19,3,1,0,10.0,5,3,8.0,7,1,7,100316,449.59090909090907,Mid,0.1111111111111111,5+ Years,0
49,No,Travel_Rarely,1091,Research and Development,1,2,Technical Degree,431,3,Female,90,2,4,Healthcare Representative,3,Single,13964.0,17810,7,Yes,12,3,4,0,25.0,2,3,7.0,1,0,7,100317,537.0769230769231,Senior,0.0,5+ Years,1
52,Yes,Travel_Rarely,723,Research and Development,8,4,Medical,433,3,Male,85,2,2,Research Scientist,2,Married,4941.0,17747,2,No,15,3,1,0,11.0,3,2,8.0,2,7,7,100318,411.75,Senior,0.7777777777777778,5+ Years,0
27,No,Travel_Rarely,1220,Research and Development,5,3,Life Sciences,434,3,Female,85,3,1,Research Scientist,2,Single,2478.0,20938,1,Yes,12,3,2,0,4.0,2,2,4.0,3,1,2,100319,495.6,Mid,0.2,3–5 Years,0
36,No,Travel_Rarely,588,Sales,8,2,Technical Degree,436,3,Female,65,2,2,Sales Executive,2,Married,5228.0,24624,1,Yes,11,3,4,0,13.0,2,3,13.0,12,11,9,100320,373.42857142857144,Senior,0.7857142857142857,5+ Years,1
27,No,Travel_Rarely,1377,Sales,2,3,Life Sciences,437,4,Male,74,3,2,Sales Executive,3,Single,4478.0,5242,1,Yes,11,3,1,0,5.0,3,3,5.0,4,0,4,100321,746.3333333333334,Mid,0.0,3–5 Years,0
31,No,Travel_Rarely,691,Sales,7,3,Marketing,438,4,Male,73,3,2,Sales Executive,4,Divorced,7547.0,7143,4,No,12,3,4,3,13.0,3,3,7.0,7,1,7,100322,539.0714285714286,Senior,0.125,5+ Years,1
32,No,Travel_Rarely,1018,Research and Development,2,4,Medical,439,1,Female,74,4,2,Research Scientist,4,Single,5055.0,10557,7,No,16,3,3,0,10.0,0,2,7.0,7,0,7,100323,459.54545454545456,Mid,0.0,5+ Years,1
28,Yes,Travel_Rarely,1157,Research and Development,2,4,Medical,440,1,Male,84,1,1,Research Scientist,4,Married,3464.0,24737,5,Yes,13,3,4,0,5.0,4,2,3.0,2,2,2,100324,577.3333333333334,Mid,0.5,1–3 Years,0
30,No,Travel_Rarely,1275,Research and Development,28,2,Medical,441,4,Female,64,3,2,Research Scientist,4,Married,5775.0,11934,1,No,13,3,4,2,11.0,2,3,10.0,8,1,9,100325,481.25,Senior,0.09090909090909091,5+ Years,1
31,No,Travel_Frequently,798,Research and Development,7,2,Life Sciences,442,3,Female,48,2,3,Manufacturing Director,3,Married,8943.0,14034,1,No,24,4,1,1,10.0,2,3,10.0,9,8,9,100326,813.0,Mid,0.7272727272727273,5+ Years,1
39,No,Travel_Frequently,672,Research and Development,7,2,Medical,444,3,Male,54,2,5,Manager,4,Married,16790.5,21141,1,No,15,3,1,1,21.0,2,3,21.0,9,13,3,100327,763.2045454545455,Senior,0.5909090909090909,5+ Years,1
39,Yes,Travel_Rarely,1162,Sales,3,2,Medical,445,4,Female,41,3,2,Sales Executive,3,Married,5238.0,17778,4,Yes,18,3,1,0,12.0,3,2,1.0,0,0,0,100328,402.9230769230769,Senior,0.0,0–1 Years,1
33,No,Travel_Frequently,508,Sales,10,3,Marketing,446,2,Male,46,2,2,Sales Executive,4,Single,4682.0,4317,3,No,14,3,3,0,9.0,6,2,7.0,7,0,1,100329,468.2,Mid,0.0,5+ Years,0
47,No,Travel_Rarely,1482,Research and Development,5,5,Life Sciences,447,4,Male,42,3,5,Research Director,3,Married,16790.5,16375,4,No,11,3,2,1,21.0,2,3,3.0,2,1,1,100330,763.2045454545455,Senior,0.25,1–3 Years,1
43,No,Travel_Frequently,559,Research and Development,10,4,Life Sciences,448,3,Female,82,2,2,Laboratory Technician,3,Divorced,5257.0,6227,1,No,11,3,2,1,9.0,3,4,9.0,7,0,0,100331,525.7,Mid,0.0,5+ Years,1
27,No,Non-Travel,210,Sales,1,1,Marketing,449,3,Male,73,3,2,Sales Executive,2,Married,6349.0,22107,0,Yes,13,3,4,1,6.0,0,3,5.0,4,1,4,100332,907.0,Mid,0.16666666666666666,3–5 Years,1
54,No,Travel_Frequently,928,Research and Development,20,4,Life Sciences,450,4,Female,31,3,2,Research Scientist,3,Single,4869.0,16885,3,No,12,3,4,0,20.0,4,2,4.0,3,0,3,100333,231.85714285714286,Senior,0.0,3–5 Years,0
43,No,Travel_Rarely,1001,Research and Development,7,3,Life Sciences,451,3,Female,43,3,3,Healthcare Representative,1,Married,9985.0,9262,8,No,16,3,1,1,10.0,1,2,1.0,0,0,0,100334,907.7272727272727,Mid,0.0,0–1 Years,1
45,No,Travel_Rarely,549,Research and Development,8,4,Other,452,4,Male,75,3,2,Research Scientist,4,Married,3697.0,9278,9,No,14,3,1,2,12.0,3,3,10.0,9,9,8,100335,284.38461538461536,Senior,0.8181818181818182,5+ Years,0
40,No,Travel_Rarely,1124,Sales,1,2,Medical,453,2,Male,57,1,2,Sales Executive,4,Married,7457.0,13273,2,Yes,22,4,3,3,6.0,2,2,4.0,3,0,2,100336,1065.2857142857142,Mid,0.0,3–5 Years,1
29,Yes,Travel_Rarely,318,Research and Development,8,4,Other,454,2,Male,77,1,1,Laboratory Technician,1,Married,2119.0,4759,1,Yes,11,3,4,0,7.0,4,2,7.0,7,0,7,100337,264.875,Mid,0.0,5+ Years,0
29,No,Travel_Rarely,738,Research and Development,9,5,Other,455,2,Male,30,2,1,Laboratory Technician,4,Single,3983.0,7621,0,No,17,3,3,0,4.0,2,3,3.0,2,2,2,100338,796.6,Mid,0.5,1–3 Years,0
30,No,Travel_Rarely,570,Sales,5,3,Marketing,456,4,Female,30,2,2,Sales Executive,3,Divorced,6118.0,5431,1,No,13,3,3,3,10.0,2,3,10.0,9,1,2,100339,556.1818181818181,Mid,0.09090909090909091,5+ Years,1
27,No,Travel_Rarely,1130,Sales,8,4,Marketing,458,2,Female,56,3,2,Sales Executive,2,Married,6214.0,3415,1,No,18,3,1,1,8.0,3,3,8.0,7,0,7,100340,690.4444444444445,Mid,0.0,5+ Years,1
37,No,Travel_Rarely,1192,Research and Development,5,2,Medical,460,4,Male,61,3,2,Manufacturing Director,4,Divorced,6347.0,23177,7,No,16,3,3,2,8.0,2,2,6.0,2,0,4,100341,705.2222222222222,Mid,0.0,5+ Years,1
38,No,Travel_Rarely,343,Research and Development,15,2,Life Sciences,461,3,Male,92,2,3,Research Director,4,Divorced,11510.0,15682,0,Yes,14,3,2,1,12.0,3,3,11.0,10,2,9,100342,885.3846153846154,Senior,0.16666666666666666,5+ Years,1
31,No,Travel_Rarely,1232,Research and Development,7,4,Medical,462,3,Female,39,3,3,Manufacturing Director,4,Single,7143.0,25713,1,Yes,14,3,3,0,11.0,2,2,11.0,9,4,10,100343,595.25,Senior,0.3333333333333333,5+ Years,1
29,No,Travel_Rarely,144,Sales,10,1,Marketing,463,4,Female,39,2,2,Sales Executive,2,Divorced,8268.0,11866,1,Yes,14,3,1,2,7.0,2,3,7.0,7,1,7,100344,1033.5,Mid,0.125,5+ Years,1
35,No,Travel_Rarely,1296,Research and Development,5,4,Technical Degree,464,3,Male,62,3,3,Manufacturing Director,2,Single,8095.0,18264,0,No,13,3,4,0,17.0,5,3,16.0,6,0,13,100655,449.72222222222223,Senior,0.0,5+ Years,1
23,No,Travel_Rarely,1309,Research and Development,26,1,Life Sciences,465,3,Male,83,3,1,Research Scientist,4,Divorced,2904.0,16092,1,No,12,3,3,2,4.0,2,2,4.0,2,0,2,100346,580.8,Mid,0.0,3–5 Years,0
41,No,Travel_Rarely,483,Research and Development,6,3,Life Sciences,466,4,Male,95,2,2,Manufacturing Director,2,Single,6032.0,10110,6,Yes,15,3,4,0,8.0,3,3,5.0,4,1,2,100347,670.2222222222222,Mid,0.16666666666666666,3–5 Years,1
47,No,Travel_Frequently,1309,Sales,4,1,Medical,467,2,Male,99,3,2,Sales Representative,3,Single,2976.0,25751,3,No,19,3,1,0,5.0,3,3,0.0,0,0,0,100348,496.0,Mid,0.0,0–1 Years,0
42,No,Travel_Rarely,810,Research and Development,23,5,Life Sciences,468,1,Female,44,3,4,Research Director,4,Single,15992.0,15901,2,No,14,3,2,0,16.0,2,3,1.0,0,0,0,100349,940.7058823529412,Senior,0.0,0–1 Years,1
29,No,Non-Travel,746,Sales,2,3,Life Sciences,469,4,Male,61,3,2,Sales Executive,3,Married,4649.0,16928,1,No,14,3,1,1,4.0,3,2,4.0,3,0,2,100350,929.8,Mid,0.0,3–5 Years,0
42,No,Travel_Rarely,544,Human Resources,2,1,Technical Degree,470,3,Male,52,3,1,Human Resources,3,Divorced,2696.0,24017,0,Yes,11,3,3,1,4.0,5,3,3.0,2,1,0,100351,539.2,Mid,0.25,1–3 Years,0
32,No,Travel_Rarely,1062,Research and Development,2,3,Medical,471,3,Female,75,3,1,Laboratory Technician,2,Married,2370.0,3956,1,No,13,3,3,1,8.0,4,3,8.0,0,0,7,100352,263.3333333333333,Mid,0.0,5+ Years,0
48,No,Travel_Rarely,530,Sales,29,1,Medical,473,1,Female,91,3,3,Manager,3,Married,12504.0,23978,3,No,21,4,2,1,15.0,3,1,0.0,0,0,0,100353,781.5,Senior,0.0,0–1 Years,1
37,No,Travel_Rarely,1319,Research and Development,6,3,Medical,474,3,Male,51,4,2,Research Scientist,1,Divorced,4945.5,17001,4,Yes,13,3,1,2,13.0,2,3,7.0,7,6,7,100354,353.25,Senior,0.75,5+ Years,0
30,No,Non-Travel,641,Sales,25,2,Technical Degree,475,4,Female,85,3,2,Sales Executive,3,Married,4736.0,6069,7,Yes,12,3,2,1,4.0,2,4,2.0,2,2,2,100355,947.2,Mid,0.6666666666666666,1–3 Years,0
26,No,Travel_Rarely,933,Sales,1,3,Life Sciences,476,3,Male,57,3,2,Sales Executive,3,Married,4945.5,20156,1,No,17,3,2,1,10.0,3,3,8.0,7,7,7,100356,449.59090909090907,Mid,0.7777777777777778,5+ Years,0
42,No,Travel_Rarely,1332,Research and Development,2,4,Other,477,1,Male,98,2,2,Healthcare Representative,4,Single,6781.0,17078,3,No,23,4,2,0,14.0,6,3,1.0,0,0,0,100357,452.06666666666666,Senior,0.0,0–1 Years,1
21,Yes,Travel_Frequently,756,Sales,1,1,Technical Degree,478,1,Female,99,2,1,Sales Representative,2,Single,2174.0,9150,1,Yes,11,3,3,0,3.0,3,3,3.0,2,1,2,100358,543.5,Junior,0.25,1–3 Years,0
36,No,Non-Travel,845,Sales,1,5,Medical,479,4,Female,45,3,2,Sales Executive,4,Single,6653.0,15276,4,No,15,3,2,0,7.0,6,3,5.0,0,0,0,100359,831.625,Mid,0.0,3–5 Years,1
36,No,Travel_Frequently,541,Sales,3,4,Medical,481,1,Male,48,2,3,Sales Executive,4,Married,9699.0,7246,4,No,11,3,1,1,16.0,2,3,13.0,9,1,12,100360,570.5294117647059,Senior,0.07142857142857142,5+ Years,1
57,No,Travel_Rarely,593,Research and Development,1,4,Medical,482,4,Male,88,3,2,Healthcare Representative,3,Married,6755.0,2967,2,No,11,3,3,0,15.0,2,3,3.0,2,1,2,100361,422.1875,Senior,0.25,1–3 Years,1
40,No,Travel_Rarely,1171,Research and Development,10,4,Life Sciences,483,4,Female,46,4,1,Laboratory Technician,3,Married,2213.0,22495,3,Yes,13,3,3,1,10.0,3,3,7.0,7,1,7,100362,201.1818181818182,Mid,0.125,5+ Years,0
21,No,Non-Travel,895,Sales,9,2,Medical,484,1,Male,39,3,1,Sales Representative,4,Single,2610.0,2851,1,No,24,4,3,0,3.0,3,2,5.0,2,2,2,100363,652.5,Junior,0.3333333333333333,3–5 Years,0
33,Yes,Travel_Rarely,350,Sales,5,3,Marketing,485,4,Female,34,3,1,Sales Representative,3,Single,2851.0,9150,1,Yes,13,3,2,0,1.0,2,3,1.0,0,0,0,100364,1425.5,Junior,0.0,0–1 Years,0
37,No,Travel_Rarely,921,Research and Development,10,3,Medical,486,3,Female,98,3,1,Laboratory Technician,1,Married,3452.0,17663,6,No,20,4,2,1,17.0,3,3,5.0,4,0,3,100365,191.77777777777777,Senior,0.0,3–5 Years,0
46,No,Non-Travel,1144,Research and Development,7,4,Medical,487,3,Female,30,3,2,Manufacturing Director,3,Married,4945.5,16044,2,No,14,3,3,0,7.0,2,4,1.0,0,0,0,100366,618.1875,Mid,0.0,0–1 Years,0
41,Yes,Travel_Frequently,143,Sales,4,3,Marketing,488,1,Male,56,3,2,Sales Executive,2,Single,9355.0,9558,1,No,18,3,3,0,8.0,5,3,8.0,7,7,7,100367,1039.4444444444443,Mid,0.7777777777777778,5+ Years,1
50,No,Travel_Rarely,1046,Research and Development,10,3,Technical Degree,491,4,Male,100,2,3,Healthcare Representative,4,Single,10496.0,2755,6,No,15,3,4,0,10.0,2,3,4.0,3,1,3,100368,954.1818181818181,Mid,0.2,3–5 Years,1
40,Yes,Travel_Rarely,575,Sales,22,2,Marketing,492,3,Male,68,2,2,Sales Executive,3,Married,6380.0,6110,2,Yes,12,3,1,2,8.0,6,3,6.0,4,1,0,100369,708.8888888888889,Mid,0.14285714285714285,5+ Years,1
31,No,Travel_Rarely,408,Research and Development,9,4,Life Sciences,493,3,Male,42,2,1,Research Scientist,2,Single,4945.5,7551,0,Yes,16,3,4,0,3.0,5,3,2.0,2,2,2,100370,1236.375,Junior,0.6666666666666666,1–3 Years,0
21,Yes,Travel_Rarely,156,Sales,12,3,Life Sciences,494,3,Female,90,4,1,Sales Representative,2,Single,2716.0,25422,1,No,15,3,4,0,1.0,0,3,1.0,0,0,0,100843,1358.0,Junior,0.0,0–1 Years,0
29,No,Travel_Rarely,1283,Research and Development,23,3,Life Sciences,495,4,Male,54,3,1,Research Scientist,4,Single,2201.0,18168,9,No,16,3,4,0,6.0,4,3,3.0,2,1,2,100372,314.42857142857144,Mid,0.25,1–3 Years,0
35,No,Travel_Rarely,755,Research and Development,9,4,Life Sciences,496,3,Male,97,2,2,Healthcare Representative,2,Single,6540.0,19394,9,No,19,3,3,0,10.0,5,3,5.0,1,0,0,100373,594.5454545454545,Mid,0.0,3–5 Years,1
27,No,Travel_Rarely,1469,Research and Development,1,2,Medical,497,4,Male,82,3,1,Laboratory Technician,2,Divorced,4945.5,17881,1,No,11,3,2,1,5.0,2,3,5.0,2,0,4,100374,824.25,Mid,0.0,3–5 Years,0
28,No,Travel_Rarely,304,Sales,9,4,Life Sciences,498,2,Male,92,3,2,Sales Executive,4,Single,4945.5,20750,1,No,16,3,4,0,7.0,1,3,7.0,5,0,7,100375,618.1875,Mid,0.0,5+ Years,0
49,No,Travel_Rarely,1261,Research and Development,7,3,Other,499,2,Male,31,2,3,Healthcare Representative,3,Single,10965.0,12066,8,No,24,4,3,0,26.0,2,3,5.0,2,0,0,100376,406.1111111111111,Senior,0.0,3–5 Years,1
51,No,Travel_Rarely,1178,Sales,14,2,Life Sciences,500,3,Female,87,3,2,Sales Executive,4,Married,4936.0,14862,4,No,11,3,3,1,18.0,2,2,7.0,7,0,7,100377,259.7894736842105,Senior,0.0,5+ Years,0
36,No,Travel_Rarely,329,Research and Development,2,3,Life Sciences,501,4,Female,96,3,1,Research Scientist,3,Married,4945.5,11868,4,No,13,3,2,1,6.0,3,3,2.0,2,2,2,100378,706.5,Mid,0.6666666666666666,1–3 Years,0
34,Yes,Non-Travel,1362,Sales,19,3,Marketing,502,1,Male,67,4,2,Sales Executive,4,Single,4945.5,4652,8,Yes,13,3,2,0,9.0,3,2,5.0,2,0,4,100379,494.55,Mid,0.0,3–5 Years,0
55,No,Travel_Rarely,1311,Research and Development,2,3,Life Sciences,505,3,Female,97,3,4,Manager,4,Single,16659.0,23258,2,Yes,13,3,3,0,30.0,2,3,5.0,4,1,2,100380,537.3870967741935,Senior,0.16666666666666666,3–5 Years,1
24,No,Travel_Rarely,1371,Sales,10,4,Marketing,507,4,Female,77,3,2,Sales Executive,3,Divorced,4260.0,5915,1,Yes,12,3,4,1,10.0,2,4,5.0,2,0,3,100381,387.27272727272725,Mid,0.0,3–5 Years,0
30,No,Travel_Rarely,202,Sales,2,1,Technical Degree,508,3,Male,72,3,1,Sales Representative,2,Married,2476.0,17434,1,No,18,3,1,1,1.0,3,3,1.0,0,0,0,100382,1238.0,Junior,0.0,0–1 Years,0
26,Yes,Travel_Frequently,575,Research and Development,3,1,Technical Degree,510,3,Male,73,3,1,Research Scientist,1,Single,3102.0,6582,0,No,22,4,3,0,7.0,2,3,6.0,4,0,4,100383,387.75,Mid,0.0,5+ Years,0
22,No,Travel_Rarely,253,Research and Development,11,3,Medical,511,1,Female,43,3,1,Research Scientist,2,Married,2244.0,24440,1,No,13,3,4,1,2.0,1,3,2.0,1,1,2,100384,748.0,Junior,0.3333333333333333,1–3 Years,0
36,No,Travel_Rarely,164,Sales,2,2,Medical,513,2,Male,61,2,3,Sales Executive,3,Married,7596.0,3809,1,No,13,3,2,2,10.0,2,3,5.0,9,9,0,100385,690.5454545454545,Mid,1.5,3–5 Years,1
36,Yes,Travel_Frequently,464,Research and Development,4,3,Technical Degree,514,3,Male,40,3,1,Research Scientist,4,Single,2285.0,3427,9,Yes,23,4,3,0,3.0,4,3,1.0,0,0,0,100386,571.25,Junior,0.0,0–1 Years,0
37,No,Travel_Rarely,1107,Research and Development,14,3,Life Sciences,515,4,Female,95,3,1,Laboratory Technician,1,Divorced,3034.0,26914,1,No,12,3,3,1,18.0,2,2,18.0,7,12,17,100387,159.68421052631578,Senior,0.631578947368421,5+ Years,0
40,No,Travel_Rarely,759,Sales,2,2,Marketing,516,4,Female,46,3,2,Sales Executive,2,Divorced,5715.0,22553,7,No,12,3,3,2,8.0,5,3,5.0,4,1,3,100388,635.0,Mid,0.16666666666666666,3–5 Years,1
42,No,Travel_Rarely,201,Research and Development,1,4,Life Sciences,517,2,Female,95,3,1,Laboratory Technician,1,Divorced,2576.0,20490,3,No,16,3,2,1,8.0,5,3,5.0,2,1,2,100389,286.22222222222223,Mid,0.16666666666666666,3–5 Years,0
37,No,Travel_Rarely,1305,Research and Development,10,4,Life Sciences,518,3,Male,49,3,2,Manufacturing Director,2,Single,4197.0,21123,2,Yes,12,3,4,0,18.0,2,2,1.0,0,0,1,100390,220.89473684210526,Senior,0.0,0–1 Years,0
43,No,Travel_Rarely,982,Research and Development,12,3,Life Sciences,520,1,Male,59,2,4,Research Director,2,Divorced,14336.0,4345,1,No,11,3,3,1,25.0,3,3,25.0,10,3,9,100391,551.3846153846154,Senior,0.11538461538461539,5+ Years,1
40,No,Travel_Rarely,555,Research and Development,2,3,Medical,521,2,Female,78,2,2,Laboratory Technician,3,Married,3448.0,13436,6,No,22,4,2,1,20.0,3,3,1.0,0,0,0,100392,164.1904761904762,Senior,0.0,0–1 Years,0
54,No,Travel_Rarely,821,Research and Development,5,2,Medical,522,1,Male,86,3,5,Research Director,1,Married,16790.5,8509,4,No,11,3,3,1,24.0,4,2,4.0,2,1,2,100393,671.62,Senior,0.2,3–5 Years,1
34,No,Non-Travel,1381,Sales,4,4,Marketing,523,3,Female,72,3,2,Sales Executive,3,Married,6538.0,12740,9,No,15,3,1,1,6.0,3,3,3.0,2,1,2,100394,934.0,Mid,0.25,1–3 Years,1
31,No,Travel_Rarely,480,Research and Development,7,2,Medical,524,2,Female,31,3,2,Manufacturing Director,1,Married,4306.0,4156,1,No,12,3,2,1,10.0,5,1,13.0,10,3,12,100395,391.45454545454544,Mid,0.21428571428571427,5+ Years,0
43,No,Travel_Frequently,313,Research and Development,21,3,Medical,525,4,Male,61,3,1,Laboratory Technician,4,Married,2258.0,15238,7,No,20,4,1,1,8.0,1,3,3.0,2,1,2,101160,250.88888888888889,Mid,0.25,1–3 Years,0
43,No,Travel_Rarely,1473,Research and Development,8,4,Other,526,3,Female,74,3,2,Healthcare Representative,3,Divorced,4522.0,2227,4,Yes,14,3,4,0,8.0,3,3,5.0,2,0,2,100397,502.44444444444446,Mid,0.0,3–5 Years,0
25,No,Travel_Rarely,891,Sales,4,2,Life Sciences,527,2,Female,99,2,2,Sales Executive,4,Single,4487.0,12090,1,Yes,11,3,2,0,5.0,3,3,5.0,4,1,3,100398,747.8333333333334,Mid,0.16666666666666666,3–5 Years,0
37,No,Non-Travel,1063,Research and Development,25,5,Medical,529,2,Female,72,3,2,Research Scientist,3,Married,4449.0,23866,3,Yes,15,3,1,2,15.0,2,3,13.0,11,10,7,100399,278.0625,Senior,0.7142857142857143,5+ Years,0
31,No,Travel_Rarely,329,Research and Development,1,2,Life Sciences,530,4,Male,98,2,1,Laboratory Technician,1,Married,2218.0,16193,1,No,12,3,3,1,4.0,3,3,4.0,2,3,2,100400,443.6,Mid,0.6,3–5 Years,0
39,No,Travel_Frequently,1218,Research and Development,1,1,Life Sciences,531,2,Male,52,3,5,Manager,3,Divorced,16790.5,8213,1,Yes,14,3,3,1,21.0,3,3,21.0,8,1,6,100401,763.2045454545455,Senior,0.045454545454545456,5+ Years,1
56,No,Travel_Frequently,906,Sales,6,3,Life Sciences,532,3,Female,86,4,4,Sales Executive,1,Married,13212.0,18256,9,No,11,3,4,3,36.0,0,2,7.0,7,7,7,100402,357.0810810810811,Senior,0.875,5+ Years,1
30,No,Travel_Rarely,1082,Sales,12,3,Technical Degree,533,2,Female,83,3,2,Sales Executive,3,Single,6577.0,19558,0,No,11,3,2,0,6.0,6,3,5.0,4,4,4,100403,939.5714285714286,Mid,0.6666666666666666,3–5 Years,1
41,No,Travel_Rarely,645,Sales,1,3,Marketing,534,2,Male,49,4,3,Sales Executive,1,Married,8392.0,19566,1,No,16,3,3,1,10.0,2,3,10.0,7,0,7,100404,762.9090909090909,Mid,0.0,5+ Years,1
78,No,Travel_Rarely,1300,Research and Development,17,2,Medical,536,3,Male,79,3,2,Laboratory Technician,1,Divorced,4558.0,13535,1,No,12,3,4,1,10.0,2,3,10.0,0,1,8,100405,414.3636363636364,Mid,0.09090909090909091,5+ Years,0
25,Yes,Travel_Rarely,688,Research and Development,3,3,Medical,538,1,Male,91,3,1,Laboratory Technician,1,Married,4031.0,9396,5,No,13,3,3,1,6.0,5,3,2.0,2,0,2,100406,575.8571428571429,Mid,0.0,1–3 Years,0
52,No,Travel_Rarely,319,Research and Development,3,3,Medical,543,4,Male,39,2,3,Manufacturing Director,3,Married,7969.0,19609,2,Yes,14,3,3,0,28.0,4,3,5.0,4,0,4,100407,274.7931034482759,Senior,0.0,3–5 Years,1
45,No,Travel_Rarely,192,Research and Development,10,2,Life Sciences,544,1,Male,69,3,1,Research Scientist,4,Married,2654.0,9655,3,No,21,4,4,2,8.0,3,2,2.0,2,0,2,100408,294.8888888888889,Mid,0.0,1–3 Years,0
52,No,Travel_Rarely,1490,Research and Development,4,2,Life Sciences,546,4,Female,30,3,4,Manager,4,Married,16555.0,10310,2,No,13,3,4,0,31.0,2,1,5.0,2,1,4,100409,517.34375,Senior,0.16666666666666666,3–5 Years,1
42,No,Travel_Frequently,532,Research and Development,29,2,Life Sciences,547,1,Female,92,3,2,Research Scientist,3,Divorced,4556.0,12932,2,No,11,3,2,1,19.0,3,3,5.0,4,0,2,100410,227.8,Senior,0.0,3–5 Years,0
30,No,Travel_Rarely,317,Research and Development,2,3,Life Sciences,548,3,Female,43,1,2,Manufacturing Director,4,Single,6091.0,24793,2,No,20,4,3,0,11.0,2,3,5.0,4,0,2,100411,507.5833333333333,Senior,0.0,3–5 Years,1
60,No,Travel_Rarely,422,Research and Development,7,3,Life Sciences,549,1,Female,41,3,5,Manager,1,Married,16790.5,3854,5,No,11,3,4,0,33.0,5,1,29.0,8,11,10,100412,493.8382352941176,Senior,0.36666666666666664,5+ Years,1
46,No,Travel_Rarely,1485,Research and Development,18,3,Medical,550,3,Female,87,3,2,Manufacturing Director,3,Divorced,4810.0,26314,2,No,14,3,3,1,19.0,5,2,10.0,7,0,8,100413,240.5,Senior,0.0,5+ Years,0
42,No,Travel_Frequently,1368,Research and Development,28,4,Technical Degree,551,4,Female,88,2,2,Healthcare Representative,4,Married,4523.0,4386,0,No,11,3,4,3,7.0,4,4,6.0,5,0,4,100414,565.375,Mid,0.0,5+ Years,0
24,Yes,Travel_Rarely,1448,Sales,1,1,Technical Degree,554,1,Female,62,3,1,Sales Representative,2,Single,3202.0,21972,1,Yes,16,3,2,0,6.0,4,3,5.0,3,1,4,100415,457.42857142857144,Mid,0.16666666666666666,3–5 Years,0
34,Yes,Travel_Frequently,296,Sales,6,2,Marketing,555,4,Female,33,1,1,Sales Representative,3,Divorced,2351.0,12253,0,No,16,3,4,1,3.0,3,2,2.0,2,1,0,100416,587.75,Junior,0.3333333333333333,1–3 Years,0
38,No,Travel_Frequently,1490,Research and Development,2,2,Life Sciences,556,4,Male,42,3,1,Laboratory Technician,4,Married,4945.5,12106,1,Yes,23,4,3,1,1.0,3,3,1.0,0,0,0,100417,2472.75,Junior,0.0,0–1 Years,0
40,No,Travel_Rarely,1398,Sales,2,4,Life Sciences,558,3,Female,79,3,5,Manager,3,Married,16790.5,13022,0,No,14,3,4,0,21.0,2,3,20.0,15,1,12,100418,763.2045454545455,Senior,0.047619047619047616,5+ Years,1
26,No,Travel_Rarely,1349,Research and Development,23,3,Life Sciences,560,1,Female,90,3,1,Research Scientist,4,Divorced,2886.0,3032,1,No,22,4,2,2,3.0,3,1,3.0,2,0,2,100419,721.5,Junior,0.0,1–3 Years,0
30,No,Non-Travel,1400,Research and Development,3,3,Life Sciences,562,3,Male,53,3,1,Laboratory Technician,4,Married,2097.0,16734,4,No,15,3,3,1,9.0,3,1,5.0,3,1,4,100420,209.7,Mid,0.16666666666666666,3–5 Years,0
29,No,Travel_Rarely,986,Research and Development,3,4,Medical,564,2,Male,93,2,3,Research Director,3,Married,11935.0,21526,1,No,18,3,3,0,10.0,2,3,10.0,2,0,7,100421,1085.0,Mid,0.0,5+ Years,1
29,Yes,Travel_Rarely,408,Research and Development,25,5,Technical Degree,565,3,Female,71,2,1,Research Scientist,2,Married,2546.0,18300,5,No,16,3,2,0,6.0,2,4,2.0,2,1,1,100422,363.7142857142857,Mid,0.3333333333333333,1–3 Years,0
36,Yes,Travel_Rarely,489,Human Resources,2,2,Technical Degree,566,1,Male,52,2,1,Human Resources,4,Single,2564.0,18437,1,No,12,3,3,0,1.0,3,4,1.0,0,0,0,100423,1282.0,Junior,0.0,0–1 Years,0
30,No,Non-Travel,1398,Sales,22,4,Other,567,3,Female,69,3,3,Sales Executive,1,Married,8412.0,2890,0,No,11,3,3,0,10.0,3,3,9.0,8,7,8,100424,764.7272727272727,Mid,0.7,5+ Years,1
57,No,Travel_Rarely,210,Sales,29,3,Marketing,568,1,Male,56,2,4,Manager,4,Divorced,14118.0,22102,3,No,12,3,3,1,32.0,3,2,1.0,0,0,0,100425,427.8181818181818,Senior,0.0,0–1 Years,1
